2026-02-03 11:53:29 | ERROR    | water_balance | error:426 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 1 rows, 4 columns
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 1 rows, 4 columns
2026-02-03 11:53:29 | ERROR    | water_balance | error:426 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:53:29 | ERROR    | water_balance | error:426 | Column 'BH_to_Sump' not found in sheet 'Flows_Test'
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 1 rows, 4 columns
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 1 rows, 4 columns
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Created flow column 'Test_Col' in 'Flows_Test'
2026-02-03 11:53:29 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 1 rows, 5 columns
2026-02-03 11:55:24 | DEBUG    | water_balance | __init__:408 | ============================================================
2026-02-03 11:55:24 | DEBUG    | water_balance | __init__:409 | Water Balance Application Started
2026-02-03 11:55:24 | DEBUG    | water_balance | __init__:410 | ============================================================
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Deleted column 'Sump_to_Plant' from 'Flows_Test'
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 4 columns
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | ERROR    | water_balance | error:426 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:55:24 | ERROR    | water_balance | error:426 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | ERROR    | water_balance | error:426 | Column 'Sump_to_Plant' already exists in sheet 'Flows_Test'
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Created flow column 'Test_Col' in 'Flows_Test'
2026-02-03 11:55:24 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 6 columns
2026-02-03 11:55:36 | DEBUG    | water_balance | __init__:408 | ============================================================
2026-02-03 11:55:36 | DEBUG    | water_balance | __init__:409 | Water Balance Application Started
2026-02-03 11:55:36 | DEBUG    | water_balance | __init__:410 | ============================================================
2026-02-03 11:55:36 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:55:36 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:55:36 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | DEBUG    | water_balance | __init__:408 | ============================================================
2026-02-03 11:56:27 | DEBUG    | water_balance | __init__:409 | Water Balance Application Started
2026-02-03 11:56:27 | DEBUG    | water_balance | __init__:410 | ============================================================
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Created flow column 'New_Flow' in 'Flows_Test'
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 6 columns
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Deleted column 'Sump_to_Plant' from 'Flows_Test'
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 4 columns
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | ERROR    | water_balance | error:426 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Loaded Flow Diagram sheet 'Flows_Test': 2 rows, 5 columns
2026-02-03 11:56:27 | ERROR    | water_balance | error:426 | Column 'NonExistent' not found in sheet 'Flows_Test'
2026-02-03 11:56:27 | INFO     | water_balance | info:418 | Flow Diagram Excel cache cleared
2026-02-03 11:56:27 | ERROR    | water_balance | error:426 | Column 'Sump_to_Plant' already exists in sheet 'Flows_Test'
