2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 25/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 26/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 27/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 28/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 29/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 30/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 31/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 32/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 33/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 34/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 35/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 36/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 37/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 38/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 39/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 40/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 41/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 42/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 43/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 44/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 45/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 46/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 47/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 48/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 49/50
2026-01-30 08:39:23 | DEBUG    | <module>:72 | Burst message 50/50
2026-01-30 08:39:29 | INFO     | get_dashboard_logger:565 | === STORAGE_FACILITIES Dashboard Logger Initialized ===
2026-01-30 08:39:31 | INFO     | _setup_table_model:166 | Table initialized with lazy-loading model (QAbstractTableModel)
2026-01-30 08:39:31 | DEBUG    | _load_facilities:201 | Loaded 2 facilities from database
2026-01-30 08:39:31 | DEBUG    | _populate_table:258 | Table populated with 2 facilities (lazy loading)
2026-01-30 08:55:05 | INFO     | get_dashboard_logger:565 | === STORAGE_FACILITIES Dashboard Logger Initialized ===
2026-01-30 08:55:05 | INFO     | <module>:59 | Test message 1 from storage
2026-01-30 08:55:05 | WARNING  | <module>:65 | Test warning from storage
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 1/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 2/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 3/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 4/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 5/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 6/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 7/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 8/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 9/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 10/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 11/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 12/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 13/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 14/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 15/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 16/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 17/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 18/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 19/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 20/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 21/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 22/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 23/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 24/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 25/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 26/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 27/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 28/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 29/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 30/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 31/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 32/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 33/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 34/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 35/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 36/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 37/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 38/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 39/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 40/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 41/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 42/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 43/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 44/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 45/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 46/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 47/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 48/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 49/50
2026-01-30 08:55:05 | DEBUG    | <module>:72 | Burst message 50/50
2026-01-30 09:02:33 | INFO     | get_dashboard_logger:565 | === STORAGE_FACILITIES Dashboard Logger Initialized ===
2026-01-30 09:02:35 | INFO     | _setup_table_model:166 | Table initialized with lazy-loading model (QAbstractTableModel)
2026-01-30 09:02:35 | DEBUG    | _load_facilities:201 | Loaded 2 facilities from database
2026-01-30 09:02:35 | DEBUG    | _populate_table:258 | Table populated with 2 facilities (lazy loading)
2026-01-30 09:49:34 | INFO     | get_dashboard_logger:565 | === STORAGE_FACILITIES Dashboard Logger Initialized ===
2026-01-30 09:49:35 | INFO     | _setup_table_model:166 | Table initialized with lazy-loading model (QAbstractTableModel)
2026-01-30 09:49:35 | DEBUG    | _load_facilities:201 | Loaded 2 facilities from database
2026-01-30 09:49:35 | DEBUG    | _populate_table:258 | Table populated with 2 facilities (lazy loading)
2026-01-30 09:54:17 | INFO     | get_dashboard_logger:565 | === STORAGE_FACILITIES Dashboard Logger Initialized ===
2026-01-30 09:54:17 | INFO     | _setup_table_model:166 | Table initialized with lazy-loading model (QAbstractTableModel)
2026-01-30 09:54:17 | DEBUG    | _load_facilities:201 | Loaded 2 facilities from database
2026-01-30 09:54:17 | DEBUG    | _populate_table:258 | Table populated with 2 facilities (lazy loading)
2026-01-30 10:17:42 | INFO     | get_dashboard_logger:565 | === STORAGE_FACILITIES Dashboard Logger Initialized ===
2026-01-30 10:18:08 | INFO     | get_dashboard_logger:565 | === STORAGE_FACILITIES Dashboard Logger Initialized ===
2026-01-30 10:18:30 | INFO     | _setup_table_model:166 | Table initialized with lazy-loading model (QAbstractTableModel)
2026-01-30 10:18:30 | DEBUG    | _load_facilities:201 | Loaded 2 facilities from database
2026-01-30 10:18:30 | DEBUG    | _populate_table:258 | Table populated with 2 facilities (lazy loading)
2026-01-30 10:21:47 | INFO     | get_dashboard_logger:565 | === STORAGE_FACILITIES Dashboard Logger Initialized ===
2026-01-30 10:21:49 | INFO     | _setup_table_model:166 | Table initialized with lazy-loading model (QAbstractTableModel)
2026-01-30 10:21:49 | DEBUG    | _load_facilities:201 | Loaded 2 facilities from database
2026-01-30 10:21:49 | DEBUG    | _populate_table:258 | Table populated with 2 facilities (lazy loading)
